date,avg_temperature,precipitation,snow(mm)
17.01.2020,3.9,0.1,0.0
18.01.2020,5.2,0.1,0.0
19.01.2020,3.8,0.2,0.0
20.01.2020,1.7,0.0,0.0
21.01.2020,1.9,0.0,0.0
22.01.2020,3.9,0.0,0.0
23.01.2020,2.8,0.0,0.0
24.01.2020,-0.1,0.0,0.0
25.01.2020,0.4,0.0,0.0
26.01.2020,-0.5,0.0,0.0
27.01.2020,4.8,3.1,0.0
28.01.2020,5.4,8.8,0.0
29.01.2020,4.5,0.7,0.0
30.01.2020,5.5,2.5,0.0
31.01.2020,9.6,0.0,0.0
01.02.2020,10.6,7.5,0.0
02.02.2020,7.1,4.6,0.0
03.02.2020,7.1,4.3,0.0
04.02.2020,5.1,1.6,0.0
05.02.2020,3.3,0.0,0.0
06.02.2020,4.4,0.1,0.0
07.02.2020,5.2,0.0,0.0
08.02.2020,4.7,0.0,0.0
09.02.2020,9.4,7.6,0.0
10.02.2020,7.1,6.2,0.0
11.02.2020,4.7,0.0,0.0
12.02.2020,4.4,0.0,0.0
13.02.2020,3.5,1.0,0.0
14.02.2020,3.6,1.1,0.0
15.02.2020,5.3,0.0,0.0
16.02.2020,11.7,1.6,0.0
17.02.2020,9.6,0.2,0.0
18.02.2020,6.9,0.1,0.0
19.02.2020,5.2,4.4,0.0
20.02.2020,4.8,4.9,0.0
21.02.2020,6.0,0.0,0.0
22.02.2020,8.3,1.2,0.0
23.02.2020,6.6,15.9,0.0
24.02.2020,5.1,7.0,0.0
25.02.2020,7.7,2.5,0.0
26.02.2020,2.5,4.3,0.0
27.02.2020,3.2,0.4,0.0
28.02.2020,3.6,3.7,0.0
29.02.2020,6.6,1.4,0.0
01.03.2020,6.9,2.7,0.0
02.03.2020,5.8,0.3,0.0
03.03.2020,4.5,0.7,0.0
04.03.2020,4.1,0.0,0.0
05.03.2020,4.9,2.6,0.0
06.03.2020,5.1,5.4,0.0
07.03.2020,4.0,0.0,0.0
08.03.2020,4.8,0.0,0.0
09.03.2020,7.1,1.5,0.0
10.03.2020,5.9,11.0,0.0
11.03.2020,9.7,2.1,0.0
12.03.2020,9.6,1.2,0.0
13.03.2020,6.2,0.0,0.0
14.03.2020,2.7,0.0,0.0
15.03.2020,5.4,0.0,0.0
16.03.2020,8.7,0.0,0.0
17.03.2020,9.0,0.0,0.0
18.03.2020,10.7,0.0,0.0
19.03.2020,10.1,0.0,0.0
20.03.2020,7.7,0.0,0.0
21.03.2020,4.1,0.0,0.0
22.03.2020,1.8,0.0,0.0
23.03.2020,0.8,0.0,0.0
24.03.2020,2.1,0.0,0.0
25.03.2020,3.9,0.0,0.0
26.03.2020,5.7,0.0,0.0
27.03.2020,9.6,0.0,0.0
28.03.2020,8.2,0.0,0.0
29.03.2020,2.8,0.6,0.0
30.03.2020,0.3,0.3,0.0
31.03.2020,1.4,0.0,0.0
01.04.2020,4.1,0.0,0.0
02.04.2020,7.0,0.0,0.0
03.04.2020,7.0,0.0,0.0
04.04.2020,7.2,0.0,0.0
05.04.2020,9.4,0.0,0.0
06.04.2020,12.8,0.0,0.0
07.04.2020,12.8,0.0,0.0
08.04.2020,13.7,0.0,0.0
09.04.2020,12.1,0.0,0.0
10.04.2020,9.6,0.0,0.0
11.04.2020,8.7,0.0,0.0
12.04.2020,13.3,2.8,0.0
13.04.2020,7.8,0.0,0.0
14.04.2020,5.9,0.0,0.0
15.04.2020,9.2,0.0,0.0
16.04.2020,11.1,0.0,0.0
17.04.2020,11.2,0.0,0.0
18.04.2020,10.8,0.0,0.0
19.04.2020,9.3,0.0,0.0
20.04.2020,10.0,0.0,0.0
21.04.2020,11.3,0.0,0.0
22.04.2020,12.5,0.0,0.0
23.04.2020,13.4,0.0,0.0
24.04.2020,13.8,0.0,0.0
